Dates,Primary Type,Location Description,Arrest,Domestic,Ward,Counts,District,Primary Types
2015-09-08,ROBBERY,STREET,0,0,15.0,662,7,26
2015-09-08,OFFENSE INVOLVING CHILDREN,RESIDENCE,0,1,26.0,662,12,20
2015-09-08,ASSAULT,STREET,0,1,27.0,662,11,1
2015-05-23,BATTERY,SIDEWALK,1,1,20.0,4,9,2
2015-09-08,MOTOR VEHICLE THEFT,POLICE FACILITY/VEH PARKING LOT,1,0,16.0,662,7,16
2015-09-05,BURGLARY,RESIDENCE,0,0,27.0,498,11,3
2015-09-08,THEFT,STREET,0,0,2.0,662,11,29
2015-09-08,BURGLARY,APARTMENT,0,0,17.0,662,7,3
2015-09-05,CRIMINAL DAMAGE,STREET,0,0,12.0,498,9,6
2015-09-07,MOTOR VEHICLE THEFT,STREET,0,0,22.0,765,10,16
2015-09-08,BATTERY,GROCERY FOOD STORE,1,0,24.0,662,10,2
2015-09-08,NARCOTICS,STREET,1,0,21.0,662,6,17
2015-09-08,NARCOTICS,SIDEWALK,1,0,28.0,662,15,17
2015-09-08,ROBBERY,ALLEY,0,0,6.0,662,6,26
2015-09-07,CRIMINAL DAMAGE,CTA GARAGE / OTHER PROPERTY,0,0,21.0,765,5,6
2015-09-07,THEFT,GAS STATION,0,0,24.0,765,10,29
2015-09-08,BATTERY,SIDEWALK,0,0,24.0,662,10,2
2015-09-08,ASSAULT,LIBRARY,0,0,5.0,662,3,1
2015-09-08,ASSAULT,STREET,1,0,10.0,662,4,1
2015-09-08,MOTOR VEHICLE THEFT,STREET,0,0,42.0,662,18,16
2015-09-06,BATTERY,RESIDENCE,0,1,7.0,776,4,2
2015-09-08,BATTERY,NURSING HOME/RETIREMENT HOME,0,0,8.0,662,4,2
2015-09-08,NARCOTICS,SIDEWALK,1,0,24.0,662,10,17
2015-09-08,ROBBERY,SMALL RETAIL STORE,0,0,6.0,662,3,26
2015-09-08,BURGLARY,APARTMENT,0,0,31.0,662,25,3
2015-09-06,BURGLARY,RESIDENCE-GARAGE,0,0,13.0,776,8,3
2015-09-08,CRIMINAL DAMAGE,VEHICLE NON-COMMERCIAL,0,0,28.0,662,11,6
2015-08-17,DECEPTIVE PRACTICE,APARTMENT,0,0,29.0,12,25,9
2015-09-08,DECEPTIVE PRACTICE,RESIDENCE,0,0,29.0,662,25,9
2015-09-08,NARCOTICS,PARKING LOT/GARAGE(NON.RESID.),1,0,30.0,662,25,17
2015-09-08,BATTERY,APARTMENT,0,1,37.0,662,25,2
2015-09-08,BURGLARY,APARTMENT,0,0,31.0,662,25,3
2015-09-07,OTHER OFFENSE,APARTMENT,0,1,29.0,765,25,22
2015-09-05,BATTERY,PARK PROPERTY,0,0,16.0,498,7,2
2015-09-08,BATTERY,APARTMENT,1,1,27.0,662,11,2
2015-06-21,ASSAULT,APARTMENT,0,0,37.0,4,15,1
2015-09-07,OTHER OFFENSE,RESIDENCE,0,0,30.0,765,25,22
2015-09-08,CRIMINAL DAMAGE,APARTMENT,0,0,4.0,662,2,6
2015-09-08,ASSAULT,RESIDENTIAL YARD (FRONT/BACK),0,0,17.0,662,6,1
2015-08-14,OTHER OFFENSE,OTHER,0,0,29.0,12,15,22
2015-09-08,ASSAULT,SMALL RETAIL STORE,1,0,26.0,662,14,1
2015-09-08,THEFT,RESIDENCE,0,0,6.0,662,3,29
2015-09-07,THEFT,STREET,0,0,19.0,765,22,29
2015-09-08,THEFT,RESTAURANT,0,0,16.0,662,8,29
2015-09-08,BATTERY,APARTMENT,1,1,7.0,662,4,2
2015-09-04,SEX OFFENSE,ABANDONED BUILDING,0,0,3.0,179,2,27
2015-08-31,CRIMINAL DAMAGE,STREET,0,0,21.0,25,22,6
2015-09-08,CRIMINAL DAMAGE,GROCERY FOOD STORE,0,0,27.0,662,18,6
2015-09-08,THEFT,RESTAURANT,0,0,42.0,662,18,29
2015-09-06,THEFT,PARK PROPERTY,0,0,42.0,776,1,29
2015-09-08,NARCOTICS,SIDEWALK,1,0,6.0,662,7,17
2015-09-08,BATTERY,APARTMENT,1,1,9.0,662,6,2
2015-09-05,WEAPONS VIOLATION,RESIDENCE,0,0,24.0,498,11,30
2015-09-08,THEFT,DEPARTMENT STORE,1,0,42.0,662,1,29
2015-09-08,THEFT,DEPARTMENT STORE,1,0,42.0,662,1,29
2015-09-08,BATTERY,RESIDENCE,0,1,24.0,662,10,2
2015-09-08,ASSAULT,APARTMENT,0,0,22.0,662,10,1
2015-09-08,THEFT,DEPARTMENT STORE,1,0,32.0,662,18,29
2015-09-08,CRIMINAL DAMAGE,RESIDENCE PORCH/HALLWAY,0,0,13.0,662,8,6
2015-09-08,ASSAULT,SMALL RETAIL STORE,0,0,49.0,662,24,1
2015-09-08,ROBBERY,SIDEWALK,1,0,42.0,662,18,26
2015-09-07,BATTERY,RESIDENCE,0,1,21.0,765,6,2
2015-09-08,BURGLARY,APARTMENT,0,0,8.0,662,6,3
2015-09-08,CRIMINAL TRESPASS,ABANDONED BUILDING,1,0,13.0,662,8,8
2015-09-08,THEFT,PARKING LOT/GARAGE(NON.RESID.),0,0,40.0,662,24,29
2015-09-08,THEFT,GROCERY FOOD STORE,0,0,38.0,662,16,29
2015-09-08,BATTERY,APARTMENT,1,1,23.0,662,8,2
2015-09-08,THEFT,RESIDENCE,0,1,17.0,662,6,29
2015-09-08,OTHER OFFENSE,SMALL RETAIL STORE,0,1,22.0,662,10,22
2015-09-07,BURGLARY,APARTMENT,0,0,7.0,765,4,3
2015-09-08,NARCOTICS,ALLEY,1,0,16.0,662,8,17
2015-09-04,THEFT,RESIDENCE,0,0,18.0,179,8,29
2015-09-08,OTHER OFFENSE,APARTMENT,0,1,24.0,662,10,22
2015-09-08,DECEPTIVE PRACTICE,SIDEWALK,1,0,2.0,662,1,9
2015-09-08,NARCOTICS,RESIDENCE,1,0,37.0,662,15,17
2015-09-08,OTHER OFFENSE,RESIDENCE,0,0,13.0,662,8,22
2015-09-08,CRIMINAL TRESPASS,OTHER,0,0,48.0,662,20,8
2015-09-08,CRIMINAL DAMAGE,PARKING LOT/GARAGE(NON.RESID.),0,0,33.0,662,17,6
2015-09-08,ASSAULT,RESIDENCE,0,0,6.0,662,6,1
2015-09-08,NARCOTICS,SIDEWALK,1,0,28.0,662,11,17
2015-09-06,OTHER OFFENSE,RESIDENCE,0,0,17.0,776,6,22
2015-09-08,NARCOTICS,STREET,1,0,28.0,662,11,17
2015-09-08,NARCOTICS,STREET,1,0,17.0,662,7,17
2015-09-08,DECEPTIVE PRACTICE,CURRENCY EXCHANGE,1,0,11.0,662,9,9
2015-09-08,THEFT,APARTMENT,0,0,16.0,662,9,29
2015-09-07,ASSAULT,RESIDENCE PORCH/HALLWAY,0,0,20.0,765,9,1
2015-09-08,NARCOTICS,STREET,1,0,7.0,662,4,17
2015-09-08,ROBBERY,ALLEY,1,0,14.0,662,8,26
2015-09-08,BATTERY,APARTMENT,0,0,5.0,662,3,2
2015-09-06,ASSAULT,RESIDENTIAL YARD (FRONT/BACK),0,0,16.0,776,8,1
2015-09-08,THEFT,PARKING LOT/GARAGE(NON.RESID.),0,0,14.0,662,8,29
2015-09-08,THEFT,RESIDENCE,0,1,5.0,662,2,29
2015-09-08,MOTOR VEHICLE THEFT,STREET,0,0,18.0,662,8,16
2015-09-08,WEAPONS VIOLATION,SIDEWALK,1,0,27.0,662,18,30
2015-09-08,OTHER OFFENSE,RESIDENCE,0,0,9.0,662,5,22
2015-09-07,THEFT,RESIDENCE,0,0,34.0,765,5,29
2015-09-08,OTHER OFFENSE,RESIDENCE,1,1,11.0,662,9,22
2015-08-26,DECEPTIVE PRACTICE,RESIDENCE,0,0,11.0,17,9,9
2015-09-05,THEFT,PARKING LOT/GARAGE(NON.RESID.),0,0,11.0,498,9,29
2015-09-08,CRIMINAL DAMAGE,RESIDENCE,1,0,7.0,662,4,6
2015-09-08,BATTERY,SIDEWALK,0,0,46.0,662,19,2
2015-09-01,CRIMINAL DAMAGE,STREET,0,0,21.0,66,22,6
2015-09-08,BURGLARY,APARTMENT,0,0,20.0,662,2,3
2015-09-08,DECEPTIVE PRACTICE,CURRENCY EXCHANGE,0,0,33.0,662,17,9
2015-09-08,NARCOTICS,SIDEWALK,1,0,24.0,662,10,17
2015-09-08,ASSAULT,ALLEY,0,0,3.0,662,2,1
2015-09-04,OTHER OFFENSE,GOVERNMENT BUILDING/PROPERTY,0,0,3.0,179,2,22
2015-09-08,BATTERY,APARTMENT,0,1,4.0,662,2,2
2015-09-08,BATTERY,STREET,0,0,21.0,662,22,2
2015-09-07,BATTERY,STREET,0,0,3.0,765,2,2
2015-09-08,CRIMINAL TRESPASS,RESIDENCE,0,0,34.0,662,22,8
2015-09-06,THEFT,RESIDENCE,0,0,12.0,776,9,29
2015-09-08,ROBBERY,GROCERY FOOD STORE,1,0,27.0,662,18,26
2015-09-08,CRIMINAL DAMAGE,APARTMENT,0,0,46.0,662,19,6
2015-09-08,THEFT,STREET,0,0,25.0,662,12,29
2015-09-08,NARCOTICS,SIDEWALK,1,0,27.0,662,11,17
2015-09-07,CRIM SEXUAL ASSAULT,ALLEY,0,0,22.0,765,10,5
2015-09-06,BURGLARY,OTHER,0,0,35.0,776,14,3
2015-09-08,BATTERY,APARTMENT,0,1,15.0,662,8,2
2015-09-05,CRIMINAL DAMAGE,VEHICLE NON-COMMERCIAL,0,0,31.0,498,25,6
2015-09-06,BATTERY,CHA APARTMENT,0,1,3.0,776,1,2
2015-09-08,MOTOR VEHICLE THEFT,OTHER,1,0,15.0,662,8,16
2015-09-07,BATTERY,HOTEL/MOTEL,0,0,50.0,765,17,2
2015-09-08,BATTERY,APARTMENT,0,1,27.0,662,11,2
2015-09-08,INTERFERENCE WITH PUBLIC OFFICER,STREET,1,0,24.0,662,11,12
2015-09-08,PROSTITUTION,SIDEWALK,1,0,21.0,662,22,23
2015-09-08,ASSAULT,APARTMENT,0,1,48.0,662,20,1
2015-09-08,THEFT,RESIDENTIAL YARD (FRONT/BACK),0,0,26.0,662,14,29
2015-09-08,ASSAULT,SIDEWALK,0,0,39.0,662,17,1
2015-09-08,CRIMINAL DAMAGE,RESIDENCE,0,0,16.0,662,7,6
2015-09-08,BATTERY,STREET,0,1,16.0,662,7,2
2015-09-07,THEFT,DRIVEWAY - RESIDENTIAL,0,0,19.0,765,22,29
2015-09-08,ASSAULT,COMMERCIAL / BUSINESS OFFICE,0,1,8.0,662,4,1
2015-09-08,CRIMINAL DAMAGE,RESIDENCE,0,0,22.0,662,10,6
2015-09-08,DECEPTIVE PRACTICE,HOTEL/MOTEL,1,0,27.0,662,12,9
2015-09-08,NARCOTICS,STREET,1,0,31.0,662,17,17
2015-09-08,ROBBERY,CTA BUS STOP,0,0,7.0,662,4,26
2015-09-08,OTHER OFFENSE,STREET,1,0,7.0,662,4,22
2015-09-08,CRIM SEXUAL ASSAULT,OTHER,0,0,44.0,662,19,5
2015-09-08,ROBBERY,STREET,1,0,43.0,662,19,26
2015-09-08,BATTERY,APARTMENT,0,1,37.0,662,25,2
2015-09-08,NARCOTICS,VEHICLE NON-COMMERCIAL,1,0,24.0,662,10,17
2015-09-08,BATTERY,PARKING LOT/GARAGE(NON.RESID.),0,0,36.0,662,25,2
2015-09-08,INTERFERENCE WITH PUBLIC OFFICER,STREET,1,0,24.0,662,11,12
2015-09-08,OTHER OFFENSE,SMALL RETAIL STORE,0,0,20.0,662,9,22
2015-09-08,NARCOTICS,SIDEWALK,1,0,44.0,662,19,17
2015-09-07,THEFT,OTHER,0,0,2.0,765,1,29
2015-09-08,OTHER OFFENSE,TAVERN/LIQUOR STORE,0,0,39.0,662,17,22
2015-09-08,NARCOTICS,STREET,1,0,19.0,662,22,17
2015-09-08,BATTERY,RESIDENCE,1,1,11.0,662,9,2
2015-03-26,BATTERY,SIDEWALK,0,0,3.0,2,9,2
2015-05-24,OTHER OFFENSE,OTHER,0,1,27.0,4,12,22
2015-09-08,CRIMINAL DAMAGE,STREET,0,0,16.0,662,9,6
2015-09-08,THEFT,RESIDENCE-GARAGE,0,0,26.0,662,12,29
2015-09-08,OTHER OFFENSE,SMALL RETAIL STORE,0,0,39.0,662,17,22
2015-09-08,THEFT,RESIDENCE-GARAGE,0,0,1.0,662,12,29
2015-09-08,MOTOR VEHICLE THEFT,STREET,0,0,27.0,662,12,16
2015-09-08,NARCOTICS,STREET,1,0,6.0,662,3,17
2015-09-08,BURGLARY,RESIDENCE,0,0,20.0,662,3,3
2015-09-02,MOTOR VEHICLE THEFT,STREET,0,0,23.0,64,8,16
2015-09-01,MOTOR VEHICLE THEFT,STREET,0,0,46.0,66,20,16
2015-09-08,CRIMINAL DAMAGE,RESIDENCE,0,0,5.0,662,3,6
2015-09-08,BATTERY,RESIDENCE,1,0,7.0,662,3,2
2015-09-08,ROBBERY,RESIDENCE PORCH/HALLWAY,0,0,5.0,662,3,26
2015-09-08,CRIMINAL DAMAGE,STREET,0,0,24.0,662,10,6
2015-09-08,NARCOTICS,STREET,1,0,8.0,662,6,17
2015-09-08,THEFT,ALLEY,0,0,45.0,662,16,29
2015-09-08,THEFT,STREET,0,0,1.0,662,14,29
2015-09-08,THEFT,RESIDENCE,0,0,28.0,662,15,29
2015-09-08,NARCOTICS,STREET,1,0,7.0,662,8,17
2015-09-08,BATTERY,OTHER,0,0,7.0,662,4,2
2015-09-08,OTHER OFFENSE,STREET,1,0,37.0,662,25,22
2015-09-08,NARCOTICS,RESTAURANT,1,0,30.0,662,25,17
2015-09-08,OTHER OFFENSE,RESIDENCE,0,0,31.0,662,25,22
2015-09-08,CRIMINAL DAMAGE,STREET,0,0,42.0,662,18,6
2015-09-08,ASSAULT,SIDEWALK,0,0,22.0,662,10,1
2015-09-08,ROBBERY,SIDEWALK,0,0,29.0,662,25,26
2015-09-08,NARCOTICS,STREET,1,0,39.0,662,17,17
2015-09-08,OTHER OFFENSE,SIDEWALK,1,0,17.0,662,7,22
2015-09-08,OTHER OFFENSE,STREET,1,0,17.0,662,7,22
2015-09-08,MOTOR VEHICLE THEFT,STREET,1,0,9.0,662,5,16
2015-09-08,NARCOTICS,SIDEWALK,1,0,9.0,662,5,17
2015-09-08,OTHER OFFENSE,STREET,1,0,28.0,662,15,22
2015-09-08,BATTERY,RESIDENCE,0,1,37.0,662,15,2
2015-09-08,ROBBERY,SIDEWALK,0,0,10.0,662,4,26
2015-09-08,INTIMIDATION,RESIDENCE,0,0,7.0,662,4,13
2015-09-08,BATTERY,RESIDENTIAL YARD (FRONT/BACK),0,0,5.0,662,3,2
2015-09-08,THEFT,OTHER,0,0,5.0,662,3,29
2015-09-08,ASSAULT,ABANDONED BUILDING,1,0,20.0,662,3,1
2015-09-08,ASSAULT,SIDEWALK,0,0,14.0,662,9,1
2015-09-08,NARCOTICS,STREET,1,0,11.0,662,9,17
2015-09-08,BURGLARY,RESIDENCE,0,0,5.0,662,3,3
2015-09-08,ARSON,RESIDENCE,0,0,17.0,662,7,0
2015-09-09,BATTERY,RESIDENCE,0,1,36.0,669,16,2
2015-09-07,BATTERY,SIDEWALK,1,1,21.0,765,6,2
2015-09-08,BATTERY,STREET,1,1,18.0,662,8,2
2015-09-08,CRIMINAL DAMAGE,STREET,0,1,21.0,662,6,6
2015-09-08,BATTERY,PARKING LOT/GARAGE(NON.RESID.),1,1,38.0,662,16,2
2015-09-08,NARCOTICS,RESIDENCE PORCH/HALLWAY,1,0,24.0,662,11,17
2015-09-09,NARCOTICS,SIDEWALK,1,0,12.0,669,10,17
2015-09-06,ASSAULT,RESIDENCE PORCH/HALLWAY,0,0,17.0,776,7,1
2015-09-07,BATTERY,RESIDENCE PORCH/HALLWAY,1,1,15.0,765,7,2
2015-09-08,WEAPONS VIOLATION,STREET,1,0,7.0,662,3,30
2015-09-09,NARCOTICS,RESIDENCE PORCH/HALLWAY,1,0,28.0,669,11,17
2015-09-09,CRIMINAL DAMAGE,STREET,1,0,37.0,669,25,6
2015-09-08,BATTERY,RESIDENCE,1,0,6.0,662,7,2
2015-09-08,NARCOTICS,STREET,1,0,17.0,662,7,17
2015-09-08,BURGLARY,RESIDENCE,1,0,6.0,662,7,3
2015-09-09,OTHER OFFENSE,SIDEWALK,1,0,7.0,669,3,22
2015-09-08,BATTERY,SIDEWALK,0,0,6.0,662,3,2
2015-09-09,THEFT,STREET,0,0,3.0,669,2,29
2015-09-08,BATTERY,APARTMENT,1,1,5.0,662,3,2
2015-09-09,CRIMINAL DAMAGE,APARTMENT,0,1,20.0,669,3,6
2015-09-08,CRIMINAL TRESPASS,RESIDENCE,0,0,42.0,662,18,8
2015-09-08,CRIMINAL DAMAGE,STREET,0,0,3.0,662,2,6
2015-09-07,BURGLARY,APARTMENT,0,0,4.0,765,2,3
2015-09-09,ASSAULT,APARTMENT,1,1,21.0,669,6,1
2015-09-08,THEFT,ABANDONED BUILDING,1,0,14.0,662,9,29
2015-09-09,ROBBERY,SIDEWALK,0,0,4.0,669,2,26
2015-09-07,OTHER OFFENSE,STREET,0,0,3.0,765,2,22
2015-09-09,ROBBERY,SIDEWALK,0,0,42.0,669,1,26
2015-09-09,BATTERY,TAVERN/LIQUOR STORE,0,0,45.0,669,16,2
2015-05-11,BATTERY,PARKING LOT/GARAGE(NON.RESID.),1,0,3.0,18,9,2
2015-09-08,OTHER OFFENSE,SIDEWALK,0,0,27.0,662,18,22
2015-09-08,OTHER OFFENSE,RESIDENCE,1,0,37.0,662,15,22
2015-09-09,THEFT,APARTMENT,0,0,2.0,669,12,29
2015-09-06,THEFT,STREET,0,0,44.0,776,19,29
2015-09-08,MOTOR VEHICLE THEFT,STREET,0,0,7.0,662,3,16
2015-09-09,ROBBERY,STREET,0,0,42.0,669,18,26
2015-09-07,BATTERY,RESIDENCE,0,1,35.0,765,14,2
2015-09-05,DECEPTIVE PRACTICE,RESIDENCE,0,0,2.0,498,12,9
2015-09-09,PUBLIC PEACE VIOLATION,SIDEWALK,1,0,2.0,669,1,25
2015-09-09,CRIMINAL DAMAGE,APARTMENT,0,1,47.0,669,19,6
2015-09-04,ASSAULT,DEPARTMENT STORE,0,0,42.0,179,1,1
2015-09-09,OTHER OFFENSE,VEHICLE NON-COMMERCIAL,0,0,6.0,669,6,22
2015-09-07,BATTERY,RESIDENCE,0,1,8.0,765,6,2
2015-09-09,BATTERY,RESIDENCE,1,1,18.0,669,6,2
2015-09-08,THEFT,VEHICLE-COMMERCIAL,0,0,25.0,662,12,29
2015-07-03,DECEPTIVE PRACTICE,RESIDENCE,0,0,15.0,1,7,9
2015-09-06,BATTERY,APARTMENT,0,0,27.0,776,12,2
2015-09-09,ASSAULT,APARTMENT,0,1,29.0,669,15,1
2015-09-09,BATTERY,APARTMENT,0,1,20.0,669,3,2
2015-09-09,NARCOTICS,STREET,1,0,31.0,669,17,17
2015-09-08,BATTERY,ALLEY,0,0,42.0,662,18,2
2015-09-09,CRIMINAL DAMAGE,RESTAURANT,1,0,4.0,669,2,6
2015-09-09,BATTERY,SIDEWALK,1,0,40.0,669,20,2
2015-09-08,CRIMINAL DAMAGE,STREET,0,0,48.0,662,20,6
2015-08-22,DECEPTIVE PRACTICE,OTHER,0,0,49.0,18,24,9
2015-09-09,BATTERY,APARTMENT,0,0,15.0,669,7,2
2015-09-09,NARCOTICS,SIDEWALK,1,0,42.0,669,1,17
2015-09-09,NARCOTICS,STREET,1,0,26.0,669,14,17
2015-09-09,NARCOTICS,SIDEWALK,1,0,1.0,669,12,17
2015-09-07,BURGLARY,RESTAURANT,0,0,41.0,765,16,3
2015-09-09,CRIM SEXUAL ASSAULT,NURSING HOME/RETIREMENT HOME,0,0,24.0,669,10,5
2015-09-09,ASSAULT,RESIDENTIAL YARD (FRONT/BACK),0,1,24.0,669,10,1
2015-09-09,BATTERY,APARTMENT,0,1,27.0,669,18,2
2015-09-08,THEFT,OTHER RAILROAD PROP / TRAIN DEPOT,0,0,2.0,662,1,29
2015-09-09,ROBBERY,SIDEWALK,0,0,2.0,669,1,26
2015-09-09,BATTERY,RESIDENCE,0,0,5.0,669,3,2
2015-09-09,BURGLARY,RESTAURANT,0,0,48.0,669,24,3
2015-09-08,BATTERY,RESIDENCE,0,1,6.0,662,6,2
2015-09-09,BATTERY,APARTMENT,1,1,6.0,669,6,2
2015-09-08,CRIM SEXUAL ASSAULT,RESIDENCE,0,0,7.0,662,4,5
2015-09-09,THEFT,APARTMENT,0,1,20.0,669,3,29
2015-09-09,BATTERY,SIDEWALK,0,0,18.0,669,8,2
2015-09-07,BATTERY,STREET,0,0,3.0,765,9,2
2015-09-09,CRIMINAL DAMAGE,RESIDENCE,0,0,8.0,669,4,6
2015-09-09,ROBBERY,GAS STATION,0,0,20.0,669,9,26
2015-09-08,ASSAULT,STREET,0,1,16.0,662,9,1
2015-09-08,OTHER OFFENSE,OTHER,0,1,45.0,662,16,22
2015-09-08,THEFT,OTHER,0,0,26.0,662,14,29
2015-09-03,CRIMINAL DAMAGE,STREET,0,0,26.0,104,14,6
2015-09-05,THEFT,STREET,0,0,45.0,498,16,29
2015-09-06,THEFT,OTHER,0,0,26.0,776,25,29
2015-09-09,WEAPONS VIOLATION,STREET,1,0,24.0,669,10,30
2015-09-01,THEFT,STREET,0,0,35.0,66,14,29
2015-09-09,CRIMINAL TRESPASS,OTHER,1,0,27.0,669,12,8
2015-09-08,THEFT,PARKING LOT/GARAGE(NON.RESID.),0,0,11.0,662,9,29
2015-08-18,SEX OFFENSE,NURSING HOME/RETIREMENT HOME,1,0,49.0,8,24,27
2015-09-08,THEFT,VEHICLE NON-COMMERCIAL,0,0,44.0,662,19,29
2015-09-08,THEFT,RESIDENTIAL YARD (FRONT/BACK),0,0,44.0,662,19,29
2015-09-08,THEFT,STREET,0,0,21.0,662,6,29
2015-09-08,THEFT,OTHER,0,0,28.0,662,11,29
2015-09-08,CRIMINAL DAMAGE,STREET,0,0,38.0,662,16,6
2015-09-09,CRIMINAL DAMAGE,CTA TRAIN,0,0,23.0,669,8,6
2015-09-09,CRIMINAL DAMAGE,STREET,0,0,32.0,669,18,6
2015-09-09,BATTERY,STREET,0,0,3.0,669,2,2
2015-09-09,MOTOR VEHICLE THEFT,STREET,0,0,22.0,669,10,16
2015-09-08,CRIMINAL DAMAGE,CHA PARKING LOT/GROUNDS,0,0,2.0,662,12,6
2015-09-09,DECEPTIVE PRACTICE,GROCERY FOOD STORE,0,0,36.0,669,16,9
2015-09-08,BATTERY,"SCHOOL, PUBLIC, BUILDING",0,0,38.0,662,16,2
2015-09-09,THEFT,HOTEL/MOTEL,0,0,44.0,669,19,29
2015-09-05,CRIM SEXUAL ASSAULT,APARTMENT,0,0,43.0,498,19,5
2015-09-08,OTHER OFFENSE,STREET,0,0,21.0,662,22,22
2015-09-07,THEFT,STREET,0,0,29.0,765,25,29
2015-09-06,THEFT,COMMERCIAL / BUSINESS OFFICE,0,0,42.0,776,18,29
2015-09-08,BATTERY,APARTMENT,0,1,8.0,662,6,2
2015-09-08,THEFT,STREET,0,0,46.0,662,20,29
2015-09-08,THEFT,RESIDENCE-GARAGE,0,0,38.0,662,16,29
2015-09-09,THEFT,RESIDENCE-GARAGE,0,0,2.0,669,1,29
2015-09-08,CRIMINAL DAMAGE,STREET,0,0,26.0,662,14,6
2015-09-08,THEFT,STREET,0,0,1.0,662,12,29
2015-09-06,BATTERY,STREET,0,0,12.0,776,10,2
2015-09-06,CRIM SEXUAL ASSAULT,ALLEY,0,0,9.0,776,5,5
2015-09-01,ASSAULT,SIDEWALK,0,0,7.0,66,4,1
2015-09-01,OFFENSE INVOLVING CHILDREN,RESIDENCE,0,1,30.0,66,17,20
2015-09-09,THEFT,GAS STATION,0,0,25.0,669,10,29
2015-09-08,CRIMINAL DAMAGE,ALLEY,0,0,44.0,662,19,6
2015-09-09,THEFT,SIDEWALK,0,0,28.0,669,11,29
2015-09-09,NARCOTICS,ALLEY,1,0,30.0,669,17,17
2015-09-09,OTHER OFFENSE,STREET,1,0,6.0,669,7,22
2015-08-08,BURGLARY,APARTMENT,0,0,16.0,7,7,3
2015-09-09,BATTERY,"SCHOOL, PRIVATE, BUILDING",1,0,21.0,669,22,2
2015-09-09,ROBBERY,STREET,0,0,37.0,669,11,26
2015-07-29,DECEPTIVE PRACTICE,APARTMENT,0,0,21.0,3,6,9
2015-08-24,DECEPTIVE PRACTICE,RESIDENCE,0,0,1.0,13,14,9
2015-09-09,CRIMINAL DAMAGE,STREET,0,0,8.0,669,6,6
2015-09-09,THEFT,RESIDENCE,0,0,44.0,669,19,29
2015-09-04,THEFT,STREET,0,0,8.0,179,4,29
2015-09-08,THEFT,PARK PROPERTY,0,0,46.0,662,19,29
2015-09-08,MOTOR VEHICLE THEFT,RESIDENCE-GARAGE,1,0,44.0,662,19,16
2015-09-08,THEFT,CTA TRAIN,0,0,27.0,662,18,29
2015-09-09,THEFT,DRIVEWAY - RESIDENTIAL,0,0,44.0,669,19,29
2015-09-08,CRIMINAL DAMAGE,RESIDENTIAL YARD (FRONT/BACK),0,0,44.0,662,19,6
2015-09-08,CRIMINAL DAMAGE,STREET,0,0,30.0,662,25,6
2015-09-09,BURGLARY,APARTMENT,0,0,1.0,669,14,3
2015-09-09,THEFT,DRIVEWAY - RESIDENTIAL,0,0,44.0,669,19,29
2015-09-08,BATTERY,STREET,0,0,34.0,662,22,2
2015-09-08,THEFT,STREET,0,0,38.0,662,17,29
2015-09-08,BURGLARY,RESIDENCE-GARAGE,0,0,15.0,662,8,3
2015-09-07,THEFT,CTA TRAIN,0,0,3.0,765,9,29
2015-09-09,BATTERY,PARKING LOT/GARAGE(NON.RESID.),0,1,2.0,669,12,2
2015-09-09,CRIMINAL DAMAGE,STREET,0,0,40.0,669,24,6
2015-09-08,THEFT,STREET,0,0,31.0,662,25,29
2015-09-09,ASSAULT,"SCHOOL, PUBLIC, GROUNDS",0,0,1.0,669,14,1
2015-09-01,ASSAULT,STREET,0,0,1.0,66,14,1
2015-09-04,OTHER OFFENSE,RESIDENCE,0,0,21.0,179,6,22
2015-09-09,BATTERY,SIDEWALK,0,1,21.0,669,6,2
2015-08-12,DECEPTIVE PRACTICE,HOSPITAL BUILDING/GROUNDS,0,0,20.0,8,7,9
2015-09-09,CRIMINAL DAMAGE,RESIDENCE,0,1,21.0,669,6,6
2015-09-03,BURGLARY,RESIDENCE,0,0,7.0,104,4,3
2015-09-08,CRIMINAL DAMAGE,DAY CARE CENTER,0,0,29.0,662,15,6
2015-09-08,THEFT,GAS STATION,0,0,29.0,662,15,29
2015-09-08,MOTOR VEHICLE THEFT,STREET,0,0,39.0,662,17,16
2015-09-06,ASSAULT,OTHER,0,0,24.0,776,15,1
2015-09-09,ASSAULT,STREET,0,0,30.0,669,17,1
2015-09-09,CRIMINAL DAMAGE,STREET,0,1,29.0,669,25,6
2015-09-09,CRIMINAL TRESPASS,RESIDENCE,1,0,47.0,669,19,8
2015-09-08,ROBBERY,ALLEY,0,0,24.0,662,15,26
2015-09-09,THEFT,DRIVEWAY - RESIDENTIAL,0,0,44.0,669,19,29
2015-09-08,BATTERY,APARTMENT,0,1,29.0,662,15,2
2015-09-09,THEFT,DRIVEWAY - RESIDENTIAL,0,0,44.0,669,19,29
2015-09-08,BATTERY,"SCHOOL, PUBLIC, BUILDING",0,0,3.0,662,2,2
2015-09-09,THEFT,DRIVEWAY - RESIDENTIAL,0,0,44.0,669,19,29
2015-09-09,THEFT,DRIVEWAY - RESIDENTIAL,0,0,44.0,669,19,29
2015-09-09,ASSAULT,STREET,0,0,38.0,669,16,1
2015-09-09,SEX OFFENSE,STREET,0,0,41.0,669,16,27
2015-09-09,THEFT,STREET,0,0,1.0,669,14,29
2015-09-06,ROBBERY,APARTMENT,0,0,21.0,776,6,26
