rating,movie,year,country,rating_ball,overview,director,screenwriter,actors,url_logo
53,Семь ,1995,США,8.295,Детектив Уильям Сомерсет — ветеран уголовного розыска; мечтающий уйти на пенсию и уехать подальше от города и грешных обитателей. За 7 дней до пенсии на Сомерсета сваливаются две неприятности: молодой напарник Миллс и особо изощренное убийство. Острый ум опытного сыщика сразу определяет; что за этим преступлением; скорее всего; последуют другие. Новости подтверждают его догадку. Поняв; что убийца наказывает свои жертвы за совершенные ими смертные грехи; детектив встает перед выбором: вернуться к работе либо уйти и передать дело своему менее опытному напарнику?, Дэвид Финчер, Эндрю Кевин Уокер,Брэд Питт; Морган Фриман; Гвинет Пэлтроу; Кевин Спейси; Р. Ли Эрми,'https://st.kp.yandex.net/images/film_iphone/iphone360_377.jpg'
54,Молчание ягнят ,1990,США,8.331,Психопат похищает и убивает молодых женщин по всему Среднему Западу Америки. ФБР; уверенное в том; что все преступления совершены одним и тем же человеком; поручает агенту Клариссе Старлинг встретиться с заключенным-маньяком; который мог бы объяснить следствию психологические мотивы серийного убийцы и тем самым вывести на его след. Заключенный; доктор психиатрии Ганнибал Лектер; отбывает наказание за убийства и каннибализм. Он согласен помочь Клариссе лишь в том случае; если она попотчует его больное воображение подробностями своей сложной личной жизни. Такие двусмысленные отношения не только порождают в душе Клариссы внутренний конфликт; но и сталкивают ее лицом к лицу с помешанным до гениальности убийцей. Воплощение дьявола настолько сильно; что ей может не хватить мужества и стойкости; чтобы остановить его…, Джонатан Демме, Тед Тэлли;  Томас Харрис,Джоди Фостер; Энтони Хопкинс; Брук Смит; Скотт Гленн; Тед Левайн,'https://st.kp.yandex.net/images/film_iphone/iphone360_345.jpg'
55,Как приручить дракона ,2010,США,8.200,Вы узнаете историю подростка Иккинга; которому не слишком близки традиции его героического племени; много лет ведущего войну с драконами. Мир Иккинга переворачивается с ног на голову; когда он неожиданно встречает дракона Беззубика; который поможет ему и другим викингам увидеть привычный мир с совершенно другой стороны…, Дин ДеБлуа;  Крис Сандерс, Уильям Дэвис;  Дин ДеБлуа;  Крис Сандерс; ...,Джей Барушель; Джерард Батлер; Крэйг Фергюсон; Америка Феррера; Джона Хилл,'https://st.kp.yandex.net/images/film_iphone/iphone360_280172.jpg'
56,Шоу Трумана ,1998,США,8.253,Представьте себе; что вы вдруг начинаете понимать; что все вокруг вас — декорации; а люди — актеры; притворяющиеся теми; кем они вам кажутся. Весь ваш мир оказывается большим телесериалом; где вы исполняете главную роль; даже не подозревая об этом. Вся ваша жизнь — результат работы автора телешоу; которое вот уже тридцать лет смотрит вся планета; начиная с момента вашего рождения. В такой ситуации оказался Труман; главный герой картины. Будет ли он продолжать жить в безопасном мире; где; как он теперь знает; у него практически нет свободы выбора; или все-таки выйдет из «игры» и станет сам хозяином своей судьбы; в которой его ждет не запланированная сценарием девушка?, Питер Уир, Эндрю Никкол,Джим Керри; Лора Линни; Ноа Эммерих; Наташа МакЭлхоун; Эд Харрис,'https://st.kp.yandex.net/images/film_iphone/iphone360_4541.jpg'
57,Терминатор 2: Судный день ,1991,США,8.309,Прошло более десяти лет с тех пор; как киборг из 2029 года пытался уничтожить Сару Коннор — женщину; чей будущий сын выиграет войну человечества против машин.Теперь у Сары родился сын Джон и время; когда он поведёт за собой выживших людей на борьбу с машинами; неумолимо приближается. Именно в этот момент из постапокалиптического будущего прибывает новый терминатор — практически неуязвимая модель T-1000; способная принимать любое обличье. Цель нового терминатора уже не Сара; а уничтожение молодого Джона Коннора.Однако шансы Джона на спасение существенно повышаются; когда на помощь приходит перепрограммированный сопротивлением терминатор предыдущего поколения. Оба киборга вступают в смертельный бой; от исхода которого зависит судьба человечества., Джеймс Кэмерон, Джеймс Кэмерон;  Уильям Уишер мл.,Арнольд Шварценеггер; Линда Хэмилтон; Эдвард Ферлонг; Роберт Патрик; Эрл Боэн,'https://st.kp.yandex.net/images/film_iphone/iphone360_444.jpg'
58,Джанго освобожденный ,2012,США,8.182,Эксцентричный охотник за головами; также известный как Дантист; промышляет отстрелом самых опасных преступников. Работенка пыльная; и без надежного помощника ему не обойтись. Но как найти такого и желательно не очень дорогого? Освобождённый им раб по имени Джанго — прекрасная кандидатура. Правда; у нового помощника свои мотивы — кое с чем надо сперва разобраться., Квентин Тарантино, Квентин Тарантино,Джейми Фокс; Кристоф Вальц; Леонардо ДиКаприо; Керри Вашингтон; Сэмюэл Л. Джексон,'https://st.kp.yandex.net/images/film_iphone/iphone360_586397.jpg'
59,Крестный отец 2 ,1974,США,8.541,В центре драмы представители нового поколения гангстерского клана — дона Корлеоне и его сына; для которых не существует моральных преград на пути достижения поставленных целей. Они превращают мафию; построенную по патриархальным; еще сицилийским законам; в весьма прагматичную; жесткую корпорацию; плавно интегрирующуюся в большой бизнес Америки., Фрэнсис Форд Коппола, Марио Пьюзо;  Фрэнсис Форд Коппола,Аль Пачино; Роберт Де Ниро; Дайан Китон; Роберт Дювалл; Джон Казале,'https://st.kp.yandex.net/images/film_iphone/iphone360_327.jpg'
60,Клаус ,2019,Испания,8.666,Владелец почтовой империи; чтобы научить ленивого отпрыска по имени Джеспер уму-разуму; отправляет его на крайний север в город Смиренсбург. Тот должен организовать там почтовое отделение и за год обработать не менее 6000 писем. Прибыв на место; парень оказывается в зоне боевых действий: два семейных клана; так уж исторически сложилось; питают взаимную ненависть и свято чтут многовековую традицию при любой возможности мутузить друг друга и делать пакости. Разумеется; в такой обстановке не до писем; и почтовое отделение давно превратилось в курятник. Уже практически отчаявшись; Джеспер посещает лесного отшельника по имени Клаус; и их знакомство положит начало удивительным событиям., Серхио Паблос;  Карлос Мартинес Лопес, Серхио Паблос;  Джеймс Майкл Махони;  Зэк Льюис,Джейсон Шварцман; Дж.К. Симмонс; Джоан Кьюсак; Рашида Джонс; Уилл Сассо,'https://st.kp.yandex.net/images/film_iphone/iphone360_957887.jpg'
61,Собачье сердце ,1988,СССР,8.343,Москва. 1924 год. В результате одного из своих сложнейших опытов; профессор Филипп Филиппович Преображенский делает потрясающее открытие: после пересадки гипофиза его подопытный пёс Шарик превращается в человека! Сенсационная новость мгновенно разлетелась по Москве; и принесла всемирно известному профессору очередную порцию признания. Однако радость его была недолгой: вопрос о том; что из Шарика — в последствии гражданина Шарикова — может получиться «высокая психическая личность» очень быстро становится под сомнение., Владимир Бортко, Наталия Бортко;  Михаил Булгаков,Владимир Толоконников; Евгений Евстигнеев; Борис Плотников; Роман Карцев; Нина Русланова,'https://st.kp.yandex.net/images/film_iphone/iphone360_77335.jpg'
62,Нокдаун ,2005,США,8.202,Потерпев несколько поражений кряду; подававший надежды боксёр-тяжеловес Джим Брэддок вынужден бросить спорт. Во времена Великой депрессии Брэддок берётся за любую работу; чтобы прокормить свою жену Мэй и детей. При этом он всё ещё надеется вернуться на ринг. И однажды ему предоставляется такой шанс. В последнюю минуту Джим заменяет другого боксёра и выходит на поединок с претендентом на титул чемпиона мира…, Рон Ховард, Клифф Холлингсворт;  Акива Голдсман,Рассел Кроу; Рене Зеллвегер; Пол Джаматти; Крэйг Бирко; Пэдди Консидайн,'https://st.kp.yandex.net/images/film_iphone/iphone360_12244.jpg'
63,Игра ,1997,США,8.252,Николас Ван Ортон — само воплощение успеха. Он преуспевает; он невозмутим и спокоен; привык держать любую ситуацию под контролем. На день рождения Николас получает необычный подарок — билет для участия в «Игре».Ему обещают; что игра вернет яркие чувства; позволит ощутить вкус и остроту жизни. Вступив в игру; Николас начинает осознавать; что это игра всерьез; игра не на жизнь; а на смерть., Дэвид Финчер, Джон Бренкето;  Майкл Феррис,Майкл Дуглас; Шон Пенн; Дебора Кара Ангер; Джеймс Ребхорн; Питер Донат,'https://st.kp.yandex.net/images/film_iphone/iphone360_12198.jpg'
64,Храброе сердце ,1995,США,8.280,Действие фильма начинается в 1280 году в Шотландии. Это история легендарного национального героя Уильяма Уоллеса; посвятившего себя борьбе с англичанами при короле Эдварде Длинноногом.Он рано лишился отца; погибшего от рук англичан; и его забрал к себе дядя Оргайл; который дал ему хорошее образование в Европе. На родину Уильям возвращается уже взрослым человеком; мечтающим завести семью и жить мирной жизнью.Но судьба распорядилась иначе. Его невесту убили англичане; и он начал свой крестовый поход за свободу., Мэл Гибсон, Рэндалл Уоллес,Мэл Гибсон; Софи Марсо; Патрик МакГуэн; Энгус Макфадьен; Брендан Глисон,'https://st.kp.yandex.net/images/film_iphone/iphone360_399.jpg'
65,Шерлок Холмс и доктор Ватсон: Знакомство ,1979,СССР,8.555,Молодой доктор по фамилии Ватсон возвратился из Афганистана в родной туманный Лондон. Ему нужно недорогое жилье. И вот; по совету друга; он поселяется в маленьком домике на Бейкер-стрит. Его хозяйка — милая чудаковатая старушка миссис Хадсон. Также там имеется сосед — некий мистер Шерлок Холмс. Это непонятная и таинственная личность — к нему в гости приходят оборванцы и бандиты; а иногда полицейские и лорды. Кто же он? Доктор в растерянности…, Игорь Масленников, Юлий Дунский;  Валерий Фрид;  Артур Конан Дойл,Василий Ливанов; Виталий Соломин; Рина Зеленая; Мария Соломина; Геннадий Богачёв,'https://st.kp.yandex.net/images/film_iphone/iphone360_77269.jpg'
66,Москва слезам не верит ,1979,СССР,8.374,"Москва пятидесятых годов. Три молодые провинциалки приезжают в Москву в поисках того; что ищут люди во всех столицах мира — любви; счастья и достатка. Их судьбы складываются именно так; как предполагает характер каждой из девушек. 

Антонина выходит замуж; растит детей; любит мужа. Людмиле Москва представляется лотереей; в которой она должна выиграть свое особенное счастье. Катерина же — отчаянно влюбляется; но избранник ее оставляет. Однако она не опускает руки; в одиночку растит дочь и к тому же успевает сделать блестящую карьеру. В сорок лет судьба дарит ей встречу с прекрасным человеком и настоящую любовь…", Владимир Меньшов, Валентин Черных,Вера Алентова; Ирина Муравьёва; Алексей Баталов; Раиса Рязанова; Александр Фатюшин,'https://st.kp.yandex.net/images/film_iphone/iphone360_46708.jpg'
67,Джентльмены ,2019,Великобритания,8.576,Один ушлый американец ещё со студенческих лет приторговывал наркотиками; а теперь придумал схему нелегального обогащения с использованием поместий обедневшей английской аристократии и очень неплохо на этом разбогател. Другой пронырливый журналист приходит к Рэю; правой руке американца; и предлагает тому купить киносценарий; в котором подробно описаны преступления его босса при участии других представителей лондонского криминального мира — партнёра-еврея; китайской диаспоры; чернокожих спортсменов и даже русского олигарха., Гай Ричи, Гай Ричи;  Айван Эткинсон;  Марн Дэвис,Мэттью МакКонахи; Чарли Ханнэм; Генри Голдинг; Хью Грант; Мишель Докери,'https://st.kp.yandex.net/images/film_iphone/iphone360_1143242.jpg'
68,Гран Торино ,2008,Германия,8.131,Вышедший на пенсию автомеханик Уолт Ковальски проводит дни; починяя что-то по дому; попивая пиво и раз в месяц заходя к парикмахеру. И хотя последним желанием его недавно почившей жены было совершение им исповеди; Уолту — ожесточившемуся ветерану Корейской войны; всегда держащему свою винтовку наготове; — признаваться в общем-то не в чем. Да и нет того; кому он доверял бы в той полной мере; в какой доверяет своей собаке Дейзи.Все те люди; коих он некогда называл своими соседями; либо переехали; либо ушли в мир иной; а на смену им пришли иммигранты; которых он откровенно презирает. Противясь буквально всему; во что упирается его взгляд; — покосившиеся карнизы; заросшие лужайки домов и лица иностранцев повсюду; бесцельно шатающиеся шайки подростков; состоящие из хмонгов; латиносов и афро-американцев; полагающих; что окрестный мир целиком принадлежит им одним; неоперившиеся чужаки; в которых оказалось превратились собственные дети и внуки; — Уолт просто неспешно проживает остаток своей жизни.До той самой ночи; когда кто-то попытается украсть его «Гран Торино»…, Клинт Иствуд, Ник Шенк;  Дэйв Джонсон,Клинт Иствуд; Би Ванг; Кристофер Карли; Эни Хи; Брайан Хейли,'https://st.kp.yandex.net/images/film_iphone/iphone360_408410.jpg'
69,Одержимость ,2013,США,8.330,Эндрю мечтает стать великим. Казалось бы; вот-вот его мечта осуществится. Юношу замечает настоящий гений; дирижер лучшего в стране оркестра. Желание Эндрю добиться успеха быстро становится одержимостью; а безжалостный наставник продолжает подталкивать его все дальше и дальше — за пределы человеческих возможностей. Кто выйдет победителем из этой схватки?, Дэмьен Шазелл, Дэмьен Шазелл,Майлз Теллер; Дж.К. Симмонс; Пол Райзер; Мелисса Бенойст; Остин Стоуэлл,'https://st.kp.yandex.net/images/film_iphone/iphone360_725190.jpg'
70,Прислуга ,2011,США,8.164,Американский Юг; на дворе 1960-е годы. Скитер только-только закончила университет и возвращается домой; в сонный городок Джексон; где никогда ничего не происходит. Она мечтает стать писательницей; вырваться в большой мир. Но для приличной девушки с Юга не пристало тешиться столь глупыми иллюзиями; приличной девушке следует выйти замуж и хлопотать по дому.Мудрая Эйбилин на тридцать лет старше Скитер; она прислуживает в домах белых всю свою жизнь; вынянчила семнадцать детей и давно уже ничего не ждет от жизни; ибо сердце ее разбито после смерти единственного сына.Минни — самая лучшая стряпуха во всем Джексоне; а еще она самая дерзкая служанка в городе. И острый язык не раз уже сослужил ей плохую службу. На одном месте Минни никогда подолгу не задерживается. Но с Минни лучше не связываться даже самым высокомерным белым дамочкам. Двух черных служанок и белую неопытную девушку объединяет одно — обостренное чувство справедливости и желание хоть как-то изменить порядок вещей. Смогут ли эти трое противостоять целому миру? Сумеют ли они выжить в этой борьбе?, Тейт Тейлор, Тейт Тейлор;  Кэтрин Стокетт,Эмма Стоун; Виола Дэвис; Брайс Даллас Ховард; Октавия Спенсер; Джессика Честейн,'https://st.kp.yandex.net/images/film_iphone/iphone360_470553.jpg'
71,Человек дождя ,1988,США,8.246,У Чарли; грубоватого и эгоистичного молодого повесы; в наследство от отца остались лишь розовые кусты да «Бьюик» 49-го года. Внезапным «сюрпризом» для него стало открытие того; что львиная доля наследства оставлена отцом его больному аутизмом брату Раймонду.Задавшись целью отобрать свою «справедливую долю» семейного достояния; Чарли похищает старшего брата и держит его заложником. Но то; что было задумано им из эгоизма; перерастает в волшебную одиссею дружбы и самоосмысления; которая разводит границы обособленного мира Раймонда; а Чарли позволяет вырваться из оков своей некогда бесчувственной души., Барри Левинсон, Бэрри Морроу;  Роналд Бэсс,Дастин Хоффман; Том Круз; Валерия Голино; Джералд Р. Молен; Джек Мёрдок,'https://st.kp.yandex.net/images/film_iphone/iphone360_519.jpg'
72,Изгой ,2000,США,8.252,Герой этого фильма; Чак Ноланд; — сотрудник всемирно известной службы доставки «Федерал Экспресс». Чак — скрупулезный практик и неисправимый педант. Жизнь Ноланда; высокопоставленного инспектора международных отделений «ФедЕкс» расписана по минутам. И этих драгоценных минут катастрофически не хватает ни на личную жизнь; ни на любимую женщину…Однако безжалостная судьба заставила Ноланда иначе взглянуть на отпущенное ему время… Самолет; на котором путешествует Чак; падает в океан. Инженер; единственный; кому посчастливилось остаться в живых; попадает на необитаемый остров. Здесь Ноланду предстоит провести мучительно долгие годы в жестокой битве за выживание…, Роберт Земекис, Уильям Бройлес мл.,Том Хэнкс; Хелен Хант; Крис Нот; Ник Сирси; Дженифер Льюис,'https://st.kp.yandex.net/images/film_iphone/iphone360_627.jpg'
73,Летят журавли ,1957,СССР,8.290,Рассказ о людях; в чьи судьбы безжалостно вторглась война. Не все смогли с честью вынести это испытание. В центре киноповести — трагическая история двух влюбленных; которых разлучила война., Михаил Калатозов, Виктор Розов,Татьяна Самойлова; Алексей Баталов; Василий Меркурьев; Александр Шворин; Светлана Харитонова,'https://st.kp.yandex.net/images/film_iphone/iphone360_7724.jpg'
74,Шестое чувство ,1999,США,8.172,Детский психиатр Малкольм Кроу сталкивается со странным случаем: девятилетнего Коула посещают страшные видения — призраки умерших. Все эти люди когда-то были убиты; и теперь они обрушивают на малыша свой гнетущий страх и отчаянный гнев.Как врач Малкольм бессилен помочь. Но как человек он пытается найти ключ к ужасному миру Коула; в котором веет дыханием смерти; и распускаются страшные цветы боли., М. Найт Шьямалан, М. Найт Шьямалан,Брюс Уиллис; Хэйли Джоэл Осмент; Тони Коллетт; Оливия Уильямс; Тревор Морган,'https://st.kp.yandex.net/images/film_iphone/iphone360_395.jpg'
75,Зверополис ,2016,США,8.293,Добро пожаловать в Зверополис — современный город; населенный самыми разными животными; от огромных слонов до крошечных мышек. Зверополис разделен на районы; полностью повторяющие естественную среду обитания разных жителей — здесь есть и элитный район Площадь Сахары и неприветливый Тундратаун. В этом городе появляется новый офицер полиции; жизнерадостная зайчиха Джуди Хоппс; которая с первых дней работы понимает; как сложно быть маленькой и пушистой среди больших и сильных полицейских. Джуди хватается за первую же возможность проявить себя; несмотря на то; что ее партнером будет болтливый хитрый лис Ник Уайлд. Вдвоем им предстоит раскрыть сложное дело; от которого будет зависеть судьба всех обитателей Зверополиса., Байрон Ховард;  Рич Мур;  Джаред Буш, Джаред Буш;  Фил Джонстон;  Байрон Ховард; ...,Джиннифер Гудвин; Джейсон Бейтман; Идрис Эльба; Дженни Слейт; Нейт Торренс,'https://st.kp.yandex.net/images/film_iphone/iphone360_775276.jpg'
76,Офицеры ,1971,СССР,8.452,Судьбы двух друзей — Алексея Трофимова и Ивана Вараввы — прослеживаются на протяжении многих лет. В 20-е они вместе служили на пограничной заставе; бились с басмачами. Там они; будучи еще совсем молодыми; на всю жизнь запомнили наказ своего командира: «Есть такая профессия — родину защищать». Потом Испания; Великая Отечественная война и мирные дни. Старые друзья снова встречаются; уже став генералами., Владимир Роговой, Кирилл Рапопорт;  Борис Васильев,Георгий Юматов; Василий Лановой; Алина Покровская; Александр Воеводин; Наталья Рычагова,'https://st.kp.yandex.net/images/film_iphone/iphone360_42736.jpg'
77,Спасти рядового Райана ,1998,США,8.178,Капитан Джон Миллер получает тяжелое задание. Вместе с отрядом из восьми человек Миллер должен отправиться в тыл врага на поиски рядового Джеймса Райана; три родных брата которого почти одновременно погибли на полях сражений.Командование приняло решение демобилизовать Райана и отправить его на родину к безутешной матери. Но для того; чтобы найти и спасти солдата; крошечному отряду придется пройти через все круги ада…, Стивен Спилберг, Роберт Родат,Том Хэнкс; Том Сайзмор; Эдвард Бёрнс; Барри Пеппер; Адам Голдберг,'https://st.kp.yandex.net/images/film_iphone/iphone360_371.jpg'
78,Малыш ,1921,США,8.240,Фильм «Малыш» стал первым полнометражным фильмом Чаплина-режиссера. Актера на главную роль Малыша — пятилетнего Джекки Кугана — Чаплин нашел на сцене; где ребенок выступал на равных со взрослыми. Джекки оказался прирожденным актером и схватывал все на лету.Фильм «Малыш» — это история ребенка; брошенного матерью вскоре после рождения. После цепи приключений подкидыша находит житель трущоб бедный Чарли; который учит ребенка тому; что знает сам., Чарльз Чаплин, Чарльз Чаплин,Карл Миллер; Эдна Первиэнс; Джеки Кугэн; Чарльз Чаплин; Альберт Остин,'https://st.kp.yandex.net/images/film_iphone/iphone360_2127.jpg'
79,Эффект бабочки ,2003,США,8.167,Мальчик Эван перенял от своего отца-психопата; ныне запертого в доме для умалишённых; странную болезнь — он не помнит некоторых эпизодов своей жизни; причем в эти моменты происходили довольно странные; а то и ужасные события. Возмужав и поступив в колледж; Эван делает удивительное открытие. Читая дневники; которые он писал в детстве по совету врача; Эван может возвращаться в детство и своими действиями менять будущее., Эрик Бресс;  Дж. Макки Грубер, Дж. Макки Грубер;  Эрик Бресс,Эштон Кутчер; Эми Смарт; Элден Хенсон; Уильям Ли Скотт; Джон Патрик Амедори,'https://st.kp.yandex.net/images/film_iphone/iphone360_5167.jpg'
80,В погоне за счастьем ,2006,США,8.248,Крис Гарднер — отец-одиночка. Воспитывая пятилетнего сына; Крис изо всех сил старается сделать так; чтобы ребенок рос счастливым. Работая продавцом; он не может оплатить квартиру; и их выселяют.Оказавшись на улице; но не желая сдаваться; отец устраивается стажером в брокерскую компанию; рассчитывая получить должность специалиста. Только на протяжении стажировки он не будет получать никаких денег; а стажировка длится 6 месяцев…, Габриэле Муччино, Стив Конрад,Уилл Смит; Джейден Смит; Тэнди Ньютон; Брайан Хау; Джеймс Карен,'https://st.kp.yandex.net/images/film_iphone/iphone360_104938.jpg'
81,Белый Бим Черное ухо ,1976,СССР,8.371,Трогательная лирическая киноповесть о судьбе собаки; теряющей любимого хозяина; об отношении людей к «братьям меньшим»; которое как рентгеном просвечивает души; выявляя в одних низость и мелочную подлость; а в других — благородство; способность сострадать и любить…, Станислав Ростоцкий, Станислав Ростоцкий;  Гавриил Троепольский,Вячеслав Тихонов; Никита Астахов; Валентина Владимирова; Михаил Дадыко; Иван Рыжов,'https://st.kp.yandex.net/images/film_iphone/iphone360_46068.jpg'
82,Судьба человека ,1959,СССР,8.368,Фильм рассказывает о русском солдате; которого война подвергла страшным испытаниям; лишила дома и семьи; бросила в концлагерь. Но судьба не сломила его дух — он выжил; отстоял своё право быть человеком; сохранил способность любить…, Сергей Бондарчук, Юрий Лукин;  Федор Шахмагонов;  Михаил Шолохов,Сергей Бондарчук; Павел Полунин; Зинаида Кириенко; Павел Волков; Юрий Аверин,'https://st.kp.yandex.net/images/film_iphone/iphone360_44027.jpg'
83,Красавица и чудовище ,1991,США,8.269,В заколдованном замке; скрытом в темном лесу; живет ужасное Чудовище. Растопить лед в его сердце и вернуть ему человеческий облик; сняв заклятие; может только прекрасная девушка; которая полюбит его таким; какой он есть., Гари Труздейл;  Кирк Уайз, Линда Вулвертон;  Габриэль-Сюзанна Барбо де Вильнев;  Бренда Чепмен; ...,Робби Бенсон; Джесси Корти; Рекс Эверхарт; Анджела Лэнсбери; Пейдж О’Хара,'https://st.kp.yandex.net/images/film_iphone/iphone360_540.jpg'
84,Назад в будущее 2 ,1989,США,8.288,Продолжение фантастической истории о приключениях американского подростка во времени. На этот раз с помощью модернизированной Доком машины времени Марти из 80-х попадает в будущее.Дети Марти в беде; и их надо выручать. Приходится повозиться со злодеем…, Роберт Земекис, Роберт Земекис;  Боб Гейл,Майкл Дж. Фокс; Кристофер Ллойд; Лиа Томпсон; Томас Ф. Уилсон; Элизабет Шу,'https://st.kp.yandex.net/images/film_iphone/iphone360_5502.jpg'
85,Дневник памяти ,2004,США,8.255,Это история отношений юноши и девушки из разных социальных слоев; живших в Южной Каролине. Ной и Элли провели вместе незабываемое лето; пока их не разделили вначале родители; а затем Вторая мировая война.После войны все изменилось: Элли обручилась с удачливым бизнесменом; а Ной жил наедине со своими воспоминаниями в старинном доме; который ему удалось отреставрировать. Когда Элли прочла об этом в местной газете; она поняла: ей нужно найти его и решить наконец судьбу их любви…, Ник Кассаветис, Джереми Левин;  Ян Сарди;  Николас Спаркс,Райан Гослинг; Рэйчел МакАдамс; Джеймс Гарнер; Джина Роулендс; Сэм Шепард,'https://st.kp.yandex.net/images/film_iphone/iphone360_3561.jpg'
86,Укрощение строптивого ,1980,Италия,8.384,Категорически не приемлющий женского общества грубоватый фермер вполне счастлив и доволен своей холостяцкой жизнью. Но неожиданно появившаяся в его жизни женщина пытается изменить его взгляды на жизнь и очаровать его., Франко Кастеллано;  Джузеппе Моччиа, Франко Кастеллано;  Джузеппе Моччиа;  Уильям Шекспир,Адриано Челентано; Орнелла Мути; Эдит Питерс; Пиппо Сантонастасо; Милли Карлуччи,'https://st.kp.yandex.net/images/film_iphone/iphone360_63912.jpg'
87,Однажды в Америке ,1983,США,8.274,В бурные двадцатые годы; когда Америка веселилась под звуки джаза и каждый бродяга мечтал стать миллионером; в трущобах Нью-Йорка встретились несколько отчаянных парней. Убирая с дороги конкурентов; безжалостно карая предателей и нагло проворачивая хитроумные аферы; они стали королями преступного мира золотой эры «сухого закона». Они поклялись отдать жизнь друг за друга; зная; что самое главное для них — это дружба; долг и справедливость — не утопить в реках крови и бездонном океане денег. Спустя много лет судьба жестоко обошлась с легендарными гангстерами; заставив их исполнить свою клятву. Это случилось однажды в Америке…, Серджио Леоне, Леонардо Бенвенути;  Пьеро Де Бернарди;  Энрико Медиоли; ...,Роберт Де Ниро; Джеймс Вудс; Элизабет Макговерн; Трит Уильямс; Тьюзди Уэлд,'https://st.kp.yandex.net/images/film_iphone/iphone360_469.jpg'
88,Римские каникулы ,1953,США,8.272,В Рим с официальным визитом прибывает юная принцесса Анна. Дни её расписаны по минутам — приемы; посещения фабрик; интервью… в общем; тоска! Она совсем девчонка; ей хочется свободы и она убегает из дворца на улицу; где гуляют; поют и целуются жители Вечного города.Увы; незадолго до побега доктор сделал ей укол снотворного и принцесса засыпает на скамейке. А мимо проходит возвращающийся домой после вечера за карточным столом американский журналист Джо Брэдли. Рано утром по заданию редактора он должен быть на пресс-конференции у принцессы Анны; которую он в глаза никогда не видел…, Уильям Уайлер, Далтон Трамбо;  Йен МакЛеллан Хантер;  Джон Дайтон,Грегори Пек; Одри Хепберн; Эдди Альберт; Хартли Пауэр; Харкорт Уильямс,'https://st.kp.yandex.net/images/film_iphone/iphone360_497.jpg'
